constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,strat,id
4,0.0,0.7777777777777777,2941225,58080,8420,0.0028627527645793843,0.14497245179063362,0.0004150202871514879,Random,8cce13a3-4
4,0.0,0.3333333333333333,2941225,3051228,1528876,0.5198092631471579,0.5010690777614784,0.2604603480970201,Enumeration,87f249a0-4
1,0.0,0.3333333333333333,4941258,4748795,4043707,0.8183557709393033,0.8515227547198816,0.696848560411148,Random,8cce13a3-1
19,0.0,0.3333333333333333,129600,171054,195,0.0015046296296296294,0.0011399908800729596,1.7152640556653324e-06,Enumeration,87f249a0-19
14,0.0,0.3333333333333333,453600,495359,6705,0.014781746031746031,0.013535637789966469,0.00020008036018898847,Enumeration,87f249a0-14
5,0.0,0.3333333333333333,2521050,2545408,1056361,0.4190162828979989,0.4150065529769687,0.17389450320672087,Enumeration,d9669406-5
21,0.3333333333333333,0.1111111111111111,71954,103680,240,0.0033354643244294965,0.0023148148148148147,7.720982232475685e-06,Random,87f249a0-21
10,0.0,0.3333333333333333,987840,1119555,92467,0.0936052397149336,0.08259263725319435,0.007731103608773811,Enumeration,d9669406-10
20,0.0,0.5555555555555556,86400,88151,0,0.0,0.0,0.0,Random,d9669406-20
19,0.1111111111111111,0.4444444444444444,129600,154192,0,0.0,0.0,0.0,Random,d9669406-19
2,0.0,0.1111111111111111,4117715,4235364,3025260,0.7346938775510204,0.7142857142857143,0.5247813411078718,Random,d9669406-2
8,0.4444444444444444,0.6666666666666666,1267547,271051,1889,0.0014902800448425187,0.0069691681639248715,1.038601224384901e-05,Random,87f249a0-8
15,0.2222222222222222,0.6666666666666666,378000,81325,0,0.0,0.0,0.0,Random,d9669406-15
3,0.0,0.5555555555555556,3529470,1544455,678657,0.19228297733087404,0.4394151982414509,0.08449206260230242,Random,d9669406-3
18,0.0,0.5555555555555556,172800,126145,0,0.0,0.0,0.0,Random,d9669406-18
3,0.0,0.1111111111111111,3529470,3630312,2222640,0.6297376093294461,0.6122448979591837,0.38555363836496703,Enumeration,8cce13a3-3
21,0.1111111111111111,0.4444444444444444,72000,97344,0,0.0,0.0,0.0,Random,d9669406-21
15,0.0,0.0,378000,420000,8100,0.021428571428571432,0.019285714285714285,0.00041326530612244896,Random,87f249a0-15
18,0.2222222222222222,0.2222222222222222,172800,216000,2160,0.0125,0.01,0.000125,Random,87f249a0-18
17,0.3333333333333333,0.1111111111111111,201529,252000,3538,0.017555786015908386,0.014039682539682541,0.0002464776623979517,Random,d9669406-17
11,0.0,0.0,846720,945000,86400,0.1020408163265306,0.09142857142857144,0.009329446064139942,Random,d9669406-11
22,0.0,0.5555555555555556,60000,61218,0,0.0,0.0,0.0,Random,87f249a0-22
22,0.2222222222222222,0.2222222222222222,60000,86400,144,0.0024,0.0016666666666666668,4e-06,Random,d9669406-22
9,0.0,0.7777777777777777,1185408,28580,9,7.592322643343051e-06,0.00031490552834149754,2.3908643733410586e-09,Random,8cce13a3-9
6,0.0,0.3333333333333333,2016840,2191268,632536,0.3136272584835684,0.28866208971244045,0.09053229982465057,Enumeration,8cce13a3-6
15,0.0,0.5555555555555556,378000,221735,0,0.0,0.0,0.0,Enumeration,d9669406-15
17,0.0,1.0,201600,1,0,0.0,0.0,0.0,Enumeration,d9669406-17
9,0.0,0.8888888888888888,1185408,1209,0,0.0,0.0,0.0,Enumeration,87f249a0-9
22,0.1111111111111111,0.4444444444444444,60000,81074,0,0.0,0.0,0.0,Random,d9669406-22
12,0.5555555555555556,0.5555555555555556,501407,389634,78,0.00015556224783459346,0.00020018786861516192,3.114167483099085e-08,Random,d9669406-12
7,0.0,0.1111111111111111,1613472,1852200,352800,0.21865889212827988,0.19047619047619047,0.041649312786339016,Enumeration,d9669406-7
16,0.5555555555555556,0.6666666666666666,266061,71663,0,0.0,0.0,0.0,Random,d9669406-16
13,0.0,0.1111111111111111,544320,604800,19440,0.03571428571428571,0.03214285714285714,0.0011479591836734693,Enumeration,87f249a0-13
8,0.0,0.6666666666666666,1382976,271051,3945,0.002852544078856032,0.01455445654138889,4.151722882810633e-05,Enumeration,87f249a0-8
4,0.0,0.6666666666666666,2941225,423015,98886,0.03362068525869323,0.2337647601148896,0.007859331424396626,Enumeration,d9669406-4
14,0.0,0.6666666666666666,453600,93335,0,0.0,0.0,0.0,Enumeration,d9669406-14
18,0.0,0.1111111111111111,172800,216000,2160,0.0125,0.01,0.000125,Enumeration,87f249a0-18
